,price_per_sqft
938,5968.7567722432605
939,11019.283746556473
940,6427.88600603303
941,17096.99025560141
942,8080.778399344722
943,2938.475665748393
944,2518.680211569138
945,4591.368227731864
946,8080.80808080808
947,2479.3388429752067
948,11631.466176920723
949,9182.736455463728
950,7805.297317548879
951,7591.062136516682
952,8080.80808080808
953,7403.53877675174
954,3795.5078328262452
955,18365.472910927456
956,4879.338842975207
957,23875.027088973042
958,15610.594635097757
959,4173.957178538513
960,8457.742700968049
961,11019.243271833711
962,13774.05408979214
963,2954.9225488581815
964,2983.441151998081
965,2967.8473409850903
966,2658.0302463075063
967,2635.5979714272826
968,2629.8188675935266
969,2657.0373206137674
970,2967.8473409850903
971,2954.9225488581815
972,2983.441151998081
973,2967.8473409850903
974,2658.0302463075063
975,2635.5979714272826
976,2629.8188675935266
977,2657.0373206137674
978,21120.216271014615
979,5509.641873278237
980,4197.822379640561
981,4489.337822671156
982,24793.29736162585
983,9522.805418476284
984,19071.756424003288
985,19895.868087333678
986,22038.486543667423
987,23721.996565667076
988,25711.56763427866
989,20201.945998361804
990,19283.675725708996
991,4591.356181670782
992,14233.189226118544
993,22956.75681632023
994,15610.594635097757
995,24793.29736162585
996,4438.309034866743
997,14992.166592955182
998,18824.540589382592
999,4879.338842975207
1000,3073.7020662757614
1001,4173.957178538513
1002,9045.655892285426
1003,5157.942449866363
1004,39354.48155717812
1005,2571.166207529844
1006,10713.19253137435
1007,5280.049219241417
1008,8794.710757483264
1009,5509.641873278237
1010,4349.717268377555
1011,4591.368227731864
1012,4944.527114844883
1013,2954.9225488581815
1014,2983.441151998081
1015,2967.8473409850903
1016,2658.0302463075063
1017,2635.5979714272826
1018,2629.8188675935266
1019,2657.0373206137674
1020,11860.998282833538
1021,4514.845423936333
1022,3756.5740045078887
1023,9266.934902309657
1024,4321.272182530537
1025,15443.641560592501
1026,8249.384306901182
1027,10310.40771218497
1028,4460.186278368096
1029,13979.650015350204
1030,4547.640911277274
1031,6244.260789715335
1032,10713.192531374349
1033,8034.857507541287
1034,7899.112534706726
1035,4285.250778997373
1036,3673.094582185491
1037,9947.96449341904
1038,25711.594617356375
1039,3979.1614376404186
1040,21340.106985069684
1041,12762.407550364818
1042,11399.234984674362
1043,17098.780287006193
1044,17098.780287006193
1045,17098.780287006193
1046,14934.530248478291
1047,14934.530248478291
1048,14934.530248478291
1049,15838.034196674687
1050,15838.034196674687
1051,15838.034196674687
1052,15838.034196674687
1053,15563.911646786364
1054,15563.911646786364
1055,15563.911646786364
1056,15563.911646786364
1057,19585.387962529338
1058,19585.387962529338
1059,20711.578291496717
1060,5509.641873278237
1061,8049.516247518717
1062,7911.258285630329
1063,8049.516247518717
1064,7911.258285630329
1065,7911.258285630329
1066,27548.10817958428
1067,2954.9225488581815
1068,2983.441151998081
1069,4879.338842975207
1070,4438.309034866743
1071,4173.957178538513
1072,4879.338842975207
1073,3073.7020662757614
1074,4173.957178538513
1075,4344.12536510078
1076,4319.913878936146
1077,4424.394609250824
1078,5739.21028466483
1079,3744.2134353245724
1080,3727.794123836379
1081,4173.957178538513
1082,17566.927331477273
1083,4197.822379640561
1084,3804.2665505272184
1085,24924.50498621281
1086,31680.32440652192
1087,4057.4708716301634
1088,7652.280379553107
1089,16988.000044076973
1090,2954.9225488581815
1091,2967.8473409850903
1092,2635.5979714272826
1093,2629.8188675935266
1094,2657.0373206137674
1095,4879.338842975207
1096,3073.7020662757614
1097,4173.957178538513
1098,20484.479122077606
